results;Score;Label
type of catfish likes dark jokes cokiparlele;0,073120117;positive
funny dark jokes mood;0,038085938;positive
laugh of friends discuss dark jokes press old when motorcycle retermines delicious heart;0,101784446;positive
thetruth strange cok side shouted race racism jokes side;0,048583984;positive
dark dark jokes hyung;0,001281738;positive
myl dark jokes bal sby dised info;0,008370536;positive
keep laughing pandemic mcdanny dark jokes clean sensor;-0,001345158;negative
dark jokes ngernti;0,125406901;positive
dark jokes sksksksk;0,125406901;positive
sorry i like dark jokes dick jokes meme meme;0,033656529;positive
dark jokes dimane dark jokes;0,150488281;positive
your dark jokes;0,029296875;positive
love dark jokes change the wife of anjim is really dark njirrr;0,101508247;positive
lhe god dark jokes people;0,078369141;positive
very tiktok dark dark jokes goblok mampus punchlinnya funny clay rich intert;-0,003348611;negative
black dark jokes;-0,08160909;negative
tida blasphemy think of dark jokes;0,050390625;positive
cheap langa dark jokes;-0,071289063;negative
ciki tran funny when i like to hang out yutuber now the jokes of the pribada cave;0,053710938;positive
lawa laughs to think of dark jokes kisanak;0,08972168;positive
crazynairobian jokes zangu butita huwa dark humour;0,009765625;positive
jokes zangu butita huwa dark humour;0,011393229;positive
moic mazak banana intehai ghatiya harkat kuch pia crash jokes crack dark humor sicki rhe thy kuch;0,024686926;positive
creative team thinking about deliberately dark jokes gin severe;0,041381836;positive
fess dark jokes.;0,01953125;positive
no dark jokes because the jokes cave straight up personal attack;-0,050192152;negative
dark jokes aot sometimes funny sometimes really offensive theres between;0,059642578;positive
putu dark jokes.;0,01953125;positive
change the wife of gin dark jokes;0,012402344;positive
dark jokes teased less name dark jokes fell;-0,015716553;negative
dark jokes elements anjeng gua get loudly inituh dark jokes;0,038208008;positive
day online comedy festival president teaches podcasts battle dark jokes desmber;0,037264737;positive
dark jkt jokes;0,125406901;positive
nadila out dark jokes;0,125406901;positive
jkt mentang mentang grad out dark jokes fitting mc;0,107452393;positive
nadila really hobbies of funny dark jokes;0,103515625;positive
seriously yak playing medsos explained sarcasettes;0,057617332;positive
moic mazak banana intehai ghatiya harkat kuch pia crash jokes crack dark humor sicki rhe thy kuc;0,024686926;positive
dark jokes banget bib;0,094055176;positive
the name dark jokes.;0,134521484;positive
sorry jbjb really often makes dark jokes so daichi dead fans;-0,00583744;negative
oned gais theory watch concert saves kanns orientation ken watch a concert;0,028986151;positive
oned gais theory watch concert savings kanns orientation ken nonto;-0,0078125;negative
skskskkalo the world tiktok nemu fans western dark jokes besit;0,045274523;positive
hu tao kayak typical like dark jokes like dark jokes aware of lawa ngehina ye;0,106974284;positive
dark jokes;0,188110352;positive
aisr dark theme movies crowded definical words;-0,005405971;negative
what dark jokes tiktokertwitizen indo know dark jokes amrik philosopher bianca del rio;0,041182085;positive
support cok lay see dark jokes kyk gin;0,048950912;positive
cele hyunggg bengkk sksksk anjim spill bund restless moms xixixixi;-0,011284722;negative
cele hyunggg bengkk sksksk anjim spill bund restless moms xixixixi ap;-0,01015625;negative
no dark jokes;-0,029296875;negative
dark jokes is really used by frequency geng frequency frequency;0,11050415;positive
ouch horrified read indonesia indonesia replies;2,03451E-05;positive
dark jokes hit pasala ite be careful talking in sosmed;0,091876984;positive
dark jokes horny horny jail bonk;0,198120117;positive
dark jokes brake dhaaa;0,094055176;positive
my evaluation ken naro apply curriculum vitae of internet pas clay hrd;0,011013455;positive
dark jokes darimaninya gair kasih dark jokes really not empathy;0,160461426;positive
tete gede dark jokes pffttt;0,01171875;positive
read right and left left right speak up ava;0,001670837;positive
strange comment on the dark jokes even though its a nutty;-0,027994792;negative
stand up comedy trauma speak up dark humor;-0,106241862;negative
asa read dark jokes;0,014678955;positive
week watch tarung opinion sirkel body shiming until dark jokes xixixi;-0,00612793;negative
dark jokes dog;0,062906901;positive
dark dark jokes;0,001708984;positive
kepo funny oath dark jokes is wrong;-0,10941569;negative
fess dark jokes hyung funny understanding bgtt ciii mff hyuncc canda;0,030894886;positive
i heard a lot of dark jokes my humor danger;0,006494141;positive
dark jokes evil gua denger kawan near thanks disgrace so jokes;0,0652398;positive
tiktok kids quota dying ajah confused pretentious dark tsunami jokes;-0,045324707;negative
only heeyak dark jokes where only;0,01953125;positive
hulll only heary nitip dahal;0;neutral
dark jokes really;0,281656901;positive
god ngucapin hbd make anjir cave bain bail fur;-0,006940206;negative
canda dark jokes canda dime is not funny;-0,005859375;negative
dark jokes is a bastard;-0,025634766;negative
use poto fear dark jokes;-0,092578125;negative
fess dark jokes sensitive funny dark jokes because jokes not just pure hate;0,052929688;positive
fess sad traumatic disaster some ethical becomes good;-0,033661553;negative
the prison playbook is good at the dominant dominant dark jokes stranger;0,00521411;positive
laugh the sin of dark jokes kieu;0,077453613;positive
laugh with jokes cok dark jokes blask jokes;0,1832101;positive
fess dark jokes funny idiot;0,01796875;positive
ngecengin a friend really happy funny conscious ngelarkjokesin himself love this dark jokes funny;0,164417614;positive
dark jokes brings thin member jiketi kykya exciting;0,031646729;positive
fess its really good for hyung dark jokes fuck tbh;0,15755786;positive
dark jokes ngerntii.;0,125406901;positive
dark jokes lampung anjir;0,094055176;positive
dark can be stupid jokes;-0,131510417;negative
dark jokes core outdoor tuhh function tangent dark jokes function function;0,045210405;positive
send dark jokes to make enjoy;0,104304505;positive
i dark joke taboo laugh;0,016906738;positive
really cant be a dark jokes baper no;0,209289551;positive
its sure im proud to have graduated;0,062586426;positive
background dark jokes bastard;-0,094726563;negative
why is the dark jokes really;0,281656901;positive
like dark jokes but nyesek pas paslawak eve garing;0,053745815;positive
wwkkwkwkwkwwk iko buk crew tagalak blana kijok pubic crew sakal bang eat rice padang;0,015904018;positive
twitter isnt twitter without selebtwit doctor problems of libtard moralis maha rude;-0,058984375;negative
because often dark jokes intake;0,125305176;positive
funny gas dark jokes;0,038085938;positive
last pict big i connected to read the dark jokes bac;0,044799805;positive
say pas soumency ngedark yatim yatim gariri;0,000279018;positive
dark jokes core outer tuhh function tangent dark jokes dis;0,043481445;positive
kalaw know this sounds annoying snobbish playing forum;0,002598354;positive
dark jokes is very ordinary as you can see;0,098878387;positive
understand the dark jokes understood;0,110351563;positive
open minded ngata ngatain bring asa ngerni dark jokes skip;-0,062341464;negative
thankyou nderm im at the dark jokes indo is normal;-0,020647321;negative
dark jokes the child is really;0,174133301;positive
mas using the dark jokes dark jokes alibi just participate;0,083312988;positive
category dark jokes;0,01953125;positive
dark jokes bye zullwah;0,094055176;positive
im a difficult corona corona ri ruwet bureaucracy once a gap burokr;-0,062934028;negative
really understand bapan dark jokes brain jokes road;0,156738281;positive
feel dark yak jokes;0,115539551;positive
the intention of his friends dark jokes;0,125305176;positive
dark jokes version of ngernti;0,094055176;positive
dark jokes rich version think;0,117437744;positive
canda alibi dark jokes hook dark jokes emotional dog cave;0,055789185;positive
mending dark jokes;-0,001302083;negative
love dark jokes bom ngerni;0,09921875;positive
rich dark jokes are embarrassed to be their commentary;0,023101807;positive
fess alibi dark jokes dark jokes mbah;0,053187779;positive
dark jokes main christopher columbus;0,144836426;positive
bring the names of dark jokes playing tiktok understanding kang tiktod;0,069037639;positive
until dark jokes really stupid brother;0,081494141;positive
why call dark jokes popular rich gada fair limit jokes imo teach;0,100633101;positive
dark jokes hyung.;0,125406901;positive
say dark jokes;0,020182292;positive
dark jokes tiktoo weve dick;0,068994141;positive
tiktoks sons name dark jokes doesnt play;0,07673863;positive
muslims like dark jokes dark jokes images of the world nihilism value;0,104437934;positive
tusk horror comedy dark jokes comedy not asia anjeng i eneg watch it;0,02512207;positive
fess fit dark dark jokes off baperan;0,020833333;positive
fess dark jokes pretentious gin;0,02421875;positive
relax dark jokes boss racing devil racing;0,01750944;positive
laughing lawa lawa dark jokes;0,01171875;positive
elujie dark jokes martabak paittt;0,01171875;positive
fess dark jokes tiktok is not what cok;0,01171875;positive
since i bring you forgetting sorry since dark jokes forgets to;-0,038696289;negative
buk invites children orphanic children mending to buy;0,020647321;positive
fess tegor said gangernti jokes dark jokes aka haram haram haram kid haram;0,062744141;positive
dark jokes water kawand favors good morning african children;0,081451416;positive
color dark jokes likes skip thanks;0,051757813;positive
fitting life likes dark jokes;0,184521484;positive
likes anime like to watch sad songs until the nang ngeledekin;-0,038643973;negative
malesin tiktok really since the content of the element of sara kedok dark jokes title;0,046643066;positive
morning dark jokes.;0,01953125;positive
dark jokes;0,188110352;positive
talk dark jokes not only yatim limit stay fresh dear humor situ;0,056857639;positive
thanks syahputra oooohhh peng;0,0078125;positive
dark jokes dark jokes taiasu;0,150488281;positive
dark jokes ap law;0,096496582;positive
alele warning spoiler dark dark dark jokes dark dark jokes dark jokes dark jokes;0,023873465;positive
true geography only interest doang talent gataau hahhh fucked dark jokes bund corner heart;0,058278402;positive
coffee kisika bhi code word sakta coffee coffe chuka tum coffee hot lag rahe mein kayal coffee;-0,003349349;negative
indonesia dark jokes another level;-0,061523438;negative
funny erin kang dark jokes;0,03046875;positive
dark jkes satirr dark jokes departes the personal nature of tonjok;0,066894531;positive
but dark jokes cool dark jokes cipta bener bener;0,094055176;positive
fast fast dark jokes drag jokes;0,059285482;positive
coffee kisika bhi code word sakta coffe coffe chuki tum coffee hot lag rahe mein coffee;-0,003572639;negative
yak ngehina religion believes human being;0,024414063;positive
i mean the film dalem dark jokes keep rich in beteba;0,038362026;positive
dark jokes sorry i laughed allah astaghfirullahaladzim;-0,027140299;negative
dark jokes arabic;0,125406901;positive
really horrified coyy dark jokes continued the end of the sadistic cave;0,072482639;positive
two wrong brought a dertham one dark jokes thank you;-0,100138346;negative
seka kanebo dry ngelair to dark jokes but praise gods head;0,04589759;positive
execution of dark jokes perfect;0,093322754;positive
thick line of dark jokes empathy;0,062987137;positive
dont understand the dark jokes baperan;0,05;positive
doang likes dark jokes using meme upin ipin;0,0597229;positive
proud of yak fans militant cok is proud to say the hiya hiyaaaaa until death;0,033984375;positive
andah dark jokes;0,01953125;positive
dark jokes;0,188110352;positive
dark jokes allahu mustaan;0,094055176;positive
my evaluation ken naro apply curriculum vitae of internet pas clay;0,012390137;positive
dark jokestp wonder religion is given;0,087547398;positive
dark jokes cok pardede angpao fill corona xixixi;0,023590088;positive
dark jokes ceunah nemu which jokes;0,161181641;positive
dark jokes read sahadat auto terrorist;0,062723796;positive
dark jokes lips lips idih dog;0,031453451;positive
fall dark jokes;-0,003265381;negative
story of tatap dark jokes;0,013183594;positive
the dark rep needs a dark jokes flashlight as ngelamin dark;-0,0496521;negative
help dark jokes funny cute polri friends;0,127964565;positive
followers same same cok join dark jokes say cool;0,03616769;positive
urus dark jokes todoroki shouto jago;0,009765625;positive
price of canda canda canda dark jokes;0,016276042;positive
dark jokes definition;0,135823568;positive
ken dark jokes afraid of blasphemy residents of twitter;-0,010986328;negative
anjrit dark jokes delete;-0,000976563;negative
dark dark jokes walking diamdiam funny nyindir;0,014404297;positive
apaseteg heart;-0,023071289;negative
table watch tv news events news title according to photo laugh;0,010900879;positive
metr mouning fornicators uka shags nawaonyesha dark humour jokes wananagaalia vibaya;0,018044212;positive
dark jokes anjir.;0,125406901;positive
tio dark jokes ndak understand;0,05;positive
dark jokes njir;0,125406901;positive
dark jokes dark jokes ndasmu kabeh angkep darkjokes;0,107491629;positive
mouning fornicators uku shags nawaonyesha dark humour jokes wananagalia vibaya;0,019848633;positive
jago duta dark jokes;0,014648438;positive
jakarta kota digitalphapi ebudgeting dishes is close;0,023645401;positive
dark jokes anjrit;0,125406901;positive
dark is really a jokes;0,17578125;positive
dark jakes dark jokes gulumu dark podo karo rai;0,02992079;positive
ken talking about the basic religion of dark jokestapy teu;-0,000941685;negative
video near indonesia you look at dark jokes sensitive people touch chapter religion;0,043299866;positive
dark jokes name;0,134521484;positive
dark jokes indonesian meme ngapa;0,075244141;positive
already read but its not dark jokes;-0,078399658;negative
gavinjoannou ngibibutin dark jokes jokes funny weve target live skip ribet wonder;0,101501465;positive
dark dark jokes indonesia;0,001281738;positive
those handle dark jokes then read replies indonesian;0,061421712;positive
ngibutein dark jokes jokes funny weve target stay skip ribet wonder;0,108598189;positive
you add dark jokes dialogue god;0,109619141;positive
tumben dark jokes funny nga broken comment dark hyung;-0,042521159;negative
diorg level dark jokes crazy;0,030712891;positive
indo dark jokes hold;0,024418174;positive
frd dark jokes anjirrrrr is severe benek hyung;-0,055803571;negative
dark brake jokes;0,125406901;positive
ava dark jokes tai funny;0,03046875;positive
temenan same rl free dark jokes ad;0,001953125;positive
fortunately my ordinary dark jokes cave;0,06171875;positive
rilek damn dark jokes;0,014648438;positive
dark dark jokes lurrr;0,001281738;positive
kirain dark jokes;0,01953125;positive
i can dark jokes;0,026000977;positive
really dark ar jokes;0,211242676;positive
doh doh kid dark jokes people;0,064005534;positive
funny dark jokes tired bastard;-0,04609375;negative
my dark jokes select;0,01953125;positive
banggain dark jokes gair kasih darkjokes really baperan;0,105621338;positive
dark jokes empathy dark jokes siblings and others laughing;0,086242676;positive
dark jokes weve thumbs up;0,125305176;positive
cute dark jokes life life day;0,083251953;positive
video of hafiz mhamad dark jokes ek;0,009765625;positive
respect and behind the defect of the dark jokes;0,052978516;positive
dark jokes bang;0,194417318;positive
dark jokes iko.;0,125406901;positive
dark jokes dark jokes cok pardede benget sia jiga ashtray dark jokes open mind;0,05065035;positive
consistent efforts to rebel the environment of the plate continued;0,033853531;positive
dark jokes dont suitable kyk base;0,092010498;positive
sometimes weve weve dark jokes accept;0,031819661;positive
dark dark jokes;0,001708984;positive
dark jokes cute;0,260823568;positive
dark jokes gimanatuuu.;0,125406901;positive
tgok dard dark jokes op je aghty of allahu;0,007324219;positive
kya tiktok dog dark jokes dark jokes dri tiktok pelec;0,024731445;positive
yeah sorry internal dark jokes hard feelings;-0,132925851;negative
ye weii hafiz wrong then indo tell us hafiz wrong dark jokes rough wei;-0,103960673;negative
dark jokes ngko kasi a resident of bengkulu kenek jam untung unit blurred;0,024968928;positive
exit dark jokes;-0,001302083;negative
dark jokes people oath takleh bawak cute talk;0,079973493;positive
crazy pig dark jokes indo hell;-0,111328125;negative
vslumpia funny cooookk dark jokes pdhal jesus playing ps;0,016927083;positive
dark jokes giler kat video comment;0,060099284;positive
dark jokes bangett funny;0,117492676;positive
dark jokes siao;0,125406901;positive
kne tapisla rosak akidah play dark jokes indonesia;0,011695862;positive
indo dark jokes hard funny;-0,078283691;negative
andstaff dark jokes bang acel;0,019921875;positive
indo dark jokes indeed;0,014648438;positive
dark jokes assault.;0,099365234;positive
blik dark jokes where to help help;0,009765625;positive
the case of cok is only gnejokes dark stale using jokes;0,032488142;positive
dark jokes police;0,125406901;positive
read the dark commenting jokes;0,094085693;positive
the eyes of the minimum of the communist eyes of dark jokes;0,099161784;positive
funny sut dark jokes;0,038085938;positive
clay tweet jokesdark jokes jokes umatumatnya kecotu mulu;0,107421875;positive
take cki dark jokes look for african hungry children;-0,008299828;negative
people consider jokesjokes tangud hina dark dress;-0,038016183;negative
funny playing dark jokes join;0,100634938;positive
lawak likes to admit dark jokes teaching sakadiyah maruf herstory book;0,083468967;positive
yesterday noise dark jokes the name of dark jokes cringe;0,025299072;positive
dark jokes father call christmas brother anjadi tomorrow kirain und;0,008246528;positive
pas video porn link fitting dark jokes stfu sattt goods;0,140649414;positive
dark jokes funny already receive news;0,092686971;positive
sorry jbjb really dark jokes;0,061181641;positive
awayday dark jokes dark jokes tay anjeng funny results;0,094021267;positive
christmas setu mgkat dark jokes;0,01171875;positive
pretending to love the dark jokes label jokes pretty stupid;0,063964844;positive
good crowd write sometimes slip sexist jokes dark jokes preferences;0,162884057;positive
i heard dark jokes yung;0,094055176;positive
jokes cok dark jokes is not as long as the process of thinking in the lawanawakan is nyeletuk;0,099093967;positive
black ngatain white white race ngatain black dark jokes;-0,070980072;negative
enter the dark jokes gas jokes;0,09765625;positive
confused like dark jokes ngehina taste jokes like dark jokes;0,102081299;positive
ken dark jokes afraid of heartache;-0,084130859;negative
wild during humanity slogan dark jokes porper;0,071774801;positive
subjectivity of dark jokes;0,125406901;positive
ribis dark jokes rich nga lessa;0,040084839;positive
funny dark jokes;0,05078125;positive
dark jokes overrated dark jokes bully;0,135823568;positive
the dark jokes are really bad;0,008296967;positive
pretentious dark jokes tip disresting ergi nang;0,013950893;positive
stay trending twitter cute funny out dark jokes funny;0,058746338;positive
faker tiktok vice state need tiktok dark jokes collection;0,051784939;positive
dark jokes kepul appears;0,094055176;positive
dark jokes tai cat gin photo people look advance price;0,04621582;positive
ethical clay profile comedian mostly ulas dark jokes;0,03515625;positive
the person likes to jokes jokes with cringe;0,21171875;positive
live throw dark jokes with ima;0,048291016;positive
dark jokes dark jokes dick mu dark;0,050013951;positive
dark jokes hard line cok pardiedie;0,075244141;positive
mention cute pardede really really can also dark jokes comedian bang;0,16652832;positive
dark jokes type soft core;0,054979277;positive
dark jokes sihh.;0,125406901;positive
tiktok community ngerni dark jokes son twitter tau drag jokes;0,07590332;positive
i set my sksd sksd accept the circle of dark jokes sok;0,058218788;positive
sometimes its really serious about staying life to think joked god next lv dark jokes;0,056335449;positive
the dark jokes dark jokes can be able to;0,175488281;positive
dark jokes waw;0,125406901;positive
cute dark jokes girlfriend sungging;0,09296875;positive
dark jokes remote heart soft hard brain;0,039933579;positive
dark jokes gwe like motures gwe advanced motures emang yha iyhabak maen;0,031627308;positive
discussion night friends where dian fucin jhon rinder hearing dark jokes;0,048950195;positive
funny dark jokes ever;0,038085938;positive
dark jokes is steady it is left to weigh the sewing he is paralyzed;-0,03666469;negative
jokes i dark;0,029296875;positive
ngp think of dark jokes;0,055175781;positive
honestly tai thought cold madam lin likes to spread dark jokes;0,022187805;positive
severe i dont read dark jokes in my sin bet;-0,019897461;negative
dark jokes isilop is dark jokes;0,150488281;positive
humorous people kasi dark jokes angry angry;0,013567243;positive
viral really dark jokes wild empathy die taste abnormal humor;0,071482849;positive
sometimes protected flip dark jokes anyone salty theyll said playing tf;-0,02006392;negative
my dark jokes;0,029296875;positive
dark jokes but funny;0,156656901;positive
the admin is open mindful dark jokes;0,02902801;positive
bener bener milopppp criminal book frequency frequency bener ku need to listen to dark joke dark;-0,059064593;negative
dark jokes group of bik bik jer;0,062703451;positive
i dark jokes dala folklore;0,014648438;positive
experienced experts dark jokes not kahh analysts;0,050333659;positive
satanic kang thanks now the brain contents of the contents column;-0,032366071;negative
gsp pas dark jokes laughs funny angry pas ngernti;0,001302083;positive
late lifting dark jokes;-0,016698837;negative
jokes elu dark really chuu ssi die;0,1207101;positive
arsenal dark jokes;0,01953125;positive
both them cute poll prison playbook boring awarkaya dark jokes worth continue guituu;0,082497337;positive
reccomended really oath likes to be difficult with brainy jokeskadang messy;-0,04296875;negative
anjir dark jokes has said mamah;-0,073828125;negative
dark dark jokes ponti peck;0,001025391;positive
hope falling in love likes dark jokesdank mes;0,084187826;positive
bork board really dark jokes;0,168994141;positive
dark jokes seleb ignorant pandemic main rapid antigen believes not;0,052652995;positive
anjrt dark jokes;0,01953125;positive
love dark jokes;0,165364583;positive
making dark jokes out such situation contribute is not helping to humanize;0,081234524;positive
your brother sin sister sanding sanding pelamin lives;-0,00718471;negative
watching the stream weve hilarious race ngira jokes seriously ngata;0,073242188;positive
discuss subjectivity of darkjokes bang yesterday discuss subjectivity of dark jokes;0,046359592;positive
open minded dark jokes here shield adab ethics race;-0,005874828;negative
yunski dark jokes brings ckck religious issues;0,015206473;positive
open minded dark jokes left shield adab ethics;-0,014671519;negative
drop dark jokes;0,03515625;positive
dark jokes old funny;0,148742676;positive
like the dark jokes governor;0,01953125;positive
i laughed dark jokes;0,125406901;positive
funny cave hurt mbk laughed ngubkainnya mbknya;-0,047991071;negative
im right dark jokes is right time;0,117261251;positive
fak dark jokes ku night jokowi reshuffle wishnutama due to sabi cheating awkarin;0,006510417;positive
dark jokes team is really dark kiw;0,078979492;positive
dark jokes really gazes;0,211242676;positive
really tweet ngatungatai ngatangatin very evil orphan dark jokes;-0,003417969;negative
funny blog model blog creepypasta dark jokes;0,0234375;positive
dark jokes komika and aditya bring jokes object object oran;0,091094971;positive
fess dark bangett jokes mu dark really i miss ken run brightwin inbox;0,018805822;positive
ngehina doesnt need to go back to dark jokes words;0,002964565;positive
wadududu dark jokes nihhh ahaha;0,01171875;positive
sumanto dark is really a strong jokes;0,126611328;positive
im full of funny dark jokes names except uncle cok fix debate;-0,005078125;negative
like dark jokes dont like dark mode;0,001025391;positive
not watching aware of dark jokes really dark jokes nothing people;-0,011610243;negative
different dark jokes the brain is so joked;0,05625;positive
sometimes the eps dark jokes continues to be horrified sometimes cringe;-0,016113281;negative
kirbalikk sometimes eps dark jokes continue to be horrified sometimes creeps;0,014024523;positive
funny dark jokes material;0,038085938;positive
dark jokes become halhal taboo subject of tabu objects;0,043121338;positive
ken give jokes fear dark give jokes kyk;0,025785566;positive
handsome handsome wind free;0,209960938;positive
discuss live mars communication alien plant chip human busy;0,008924696;positive
quarter life boy internet crisis depression snapin nglamein meme dark jokes;-0,015258789;negative
adrian thought sekar thought;0,014526367;positive
